Date,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2015-06-05 00:00:00,0.028052741761201268,0.20266363990001407,0.054937885754278916,0.03465815640615572,0.12189878893378965,0.1799213013962352,0.14366907891573505,0.10289745332326428,0.046821076412904644,0.05672450083969939,0.027755376356721817
2015-06-08 00:00:00,0.027916041055552576,0.2022448369423789,0.05528070484674931,0.03464446362755571,0.12210251953951506,0.18007383934888202,0.1435961283285221,0.10226326429044735,0.047010533243191696,0.0570206026287053,0.02784706614850001
2015-06-09 00:00:00,0.02797151203517123,0.2022030488904393,0.05548276983679725,0.03469856689246039,0.12227155104062457,0.18014988878008067,0.14370652273729503,0.10210997810841672,0.047046879434775,0.05656836022602448,0.02779092201791536
2015-06-10 00:00:00,0.027945670934319468,0.2018062662201756,0.055423976694682145,0.034768781946171244,0.12301169370413334,0.17961771285321845,0.14363190593413516,0.10266241162938744,0.047119939973969786,0.05643533464088367,0.027576305468923652
2015-06-11 00:00:00,0.02786004118370846,0.20156045898683264,0.055235250825530595,0.034649085825811776,0.12320530149416302,0.17984362555689587,0.14388338016123942,0.10234239103010606,0.04708603145654414,0.05662302899857089,0.027711404480597127
2015-06-12 00:00:00,0.02784961780112487,0.20250734365899797,0.055344277235909824,0.03446210148963398,0.12327269900686409,0.17894939624002484,0.14391148365074288,0.10225004422244273,0.046964188780451915,0.05690293436241908,0.0275859135513878
2015-06-15 00:00:00,0.027781033293397896,0.2024329805311292,0.055104254254137675,0.03454593180041952,0.12336471887196156,0.17990495967706865,0.14339124072444775,0.1023216007378743,0.04671750542688892,0.056825461694633025,0.02761031298804149
2015-06-16 00:00:00,0.027789329171192367,0.2015730059346767,0.055465687856842825,0.03469303883881259,0.1234561631512248,0.1798498340807204,0.14308420754199802,0.10258798131455374,0.04682723308314061,0.05704863151343155,0.027624887513406412
2015-06-17 00:00:00,0.027834499352888464,0.20136316884392896,0.05562401407593887,0.034462802143609195,0.12307179948564216,0.1801118872130602,0.14307788378028682,0.1024722072232496,0.04687834446751992,0.05731435757967282,0.027789035834202988
2015-06-18 00:00:00,0.027814063977606183,0.2011055977539204,0.05556678037175079,0.034008210571620484,0.12286091494427191,0.18044433653082323,0.14304567727363443,0.10271250274123045,0.04692312845268396,0.05761572548913531,0.02790306189332286
2015-06-19 00:00:00,0.027795691042572485,0.20137597748900024,0.055668253186618,0.033757588570593966,0.12243764904587656,0.18115586580178725,0.1430406370732281,0.10276109198580936,0.04687770507473968,0.05736000249881177,0.027769538230962586
2015-06-22 00:00:00,0.02794691921857681,0.2008329044049349,0.05561864367055454,0.03407048350921892,0.12282002859399556,0.1812619335270505,0.14324192390103718,0.1030847896608677,0.04685495519337965,0.05665187228918951,0.027615546031194742
2015-06-23 00:00:00,0.028107736410236527,0.20128559063647825,0.05548423001960378,0.03433261560736277,0.12329947766026196,0.18124425672164804,0.1431073227235416,0.10273531397636944,0.04683068885277084,0.056297102373965,0.027275665017761817
2015-06-24 00:00:00,0.028159449877518086,0.20170104996052837,0.0556387328077943,0.0342919061278043,0.12302779538160435,0.18052553451255055,0.14277821213639247,0.10230780558807451,0.04806722008501164,0.05627370318366912,0.027228590339052297
2015-06-25 00:00:00,0.02815121457805365,0.20167769983319853,0.05556923503843391,0.033978396912787104,0.12258441573127761,0.18227940983154092,0.1421108815559872,0.10246420223401875,0.04806893138992512,0.05600365701943078,0.02711195587534643
2015-06-26 00:00:00,0.028227887589641967,0.20183991580273833,0.05568575695647168,0.03403262257139673,0.12303110897777267,0.18204209988591397,0.1423061752651008,0.101139806655951,0.04806688609370132,0.05632155221316176,0.02730618798814976
2015-06-29 00:00:00,0.02825210513723968,0.20157480994513072,0.05585580845411967,0.03416680124452452,0.12256414173316989,0.18225881715094686,0.142462179036629,0.1007070253882692,0.047931047311905915,0.0565272819421934,0.02769998265587115
2015-06-30 00:00:00,0.02831243920283897,0.2021713532952826,0.05554797234487473,0.03431556627347383,0.12260776507704232,0.18257621895949855,0.14217985014830437,0.10056182053698424,0.047680151908173034,0.05651032913968386,0.027536533113843475
2015-07-01 00:00:00,0.02837774722340393,0.20235896967627384,0.05581996367703648,0.03356858365450259,0.12315953990060481,0.18218968515737577,0.14180269124100536,0.10051662312408781,0.04769706741093883,0.056962031390447684,0.02754709754432289
2015-07-02 00:00:00,0.028351963828724947,0.20240333352300996,0.05580197376092027,0.033727618254378776,0.12284112703079805,0.18172918865729112,0.14164390528248733,0.10069091816492055,0.047702415148635414,0.05718312939463399,0.02792442695419959
2015-07-06 00:00:00,0.02837908722352598,0.20231272396783684,0.05712553200826503,0.033144996547703046,0.1236263088345697,0.18191224124832267,0.14105587204968303,0.09975054639998794,0.04731558086926261,0.05736737037390924,0.028009740476933928
2015-07-07 00:00:00,0.02838215792799854,0.2029053395568271,0.057744443122656676,0.033314286724334445,0.12285410759546317,0.1812724350195373,0.1409614254434778,0.09934452721785501,0.046978377881418634,0.05774059816707008,0.028502301343361267
2015-07-08 00:00:00,0.028447552019653027,0.2028840020924914,0.05813556644667793,0.03314515346786176,0.12290184608511598,0.18059546384792136,0.14078090720617686,0.09904807053018734,0.04676427975783521,0.05845278829476944,0.028844370251309703
2015-07-09 00:00:00,0.028541955210785497,0.20333553947348615,0.05787410383875037,0.033306020608264965,0.12334301969610359,0.18079639782796245,0.14092649195915974,0.0986510052622511,0.04667776111246215,0.05814902200805514,0.02839868300271887
2015-07-10 00:00:00,0.028717581795882522,0.2037972718611328,0.05778203419851336,0.032923839306967635,0.1235415258205719,0.1807303989651058,0.14059764570979325,0.0988013330691979,0.04698581301722479,0.05788429532811297,0.0282382609274971
2015-07-13 00:00:00,0.028866059127553446,0.20476223336359464,0.05775885658458111,0.03292829036889407,0.12339903324457611,0.18066704215489177,0.1406813722578288,0.09869871831080428,0.046994587973187715,0.05730535572578391,0.02793845088830413
2015-07-14 00:00:00,0.0287178945492728,0.2038112651216934,0.05754320016715503,0.03308987327886858,0.12314151394409029,0.1820038913140097,0.14046190520295423,0.0991349940037078,0.04707143530242414,0.05722922838780504,0.027794798728018974
2015-07-15 00:00:00,0.028823293213283828,0.20386021213902358,0.057490524152870696,0.03246136191502785,0.12400282575897167,0.18208522752851755,0.1400315795572634,0.09897343616867892,0.046868085886762854,0.05742259865744763,0.027980855022152057
2015-07-16 00:00:00,0.029437536206488823,0.20320944277413994,0.05764168360854971,0.0321585412513369,0.12439550987547944,0.1818907650551662,0.13994180777982163,0.09910559531566479,0.04645829735577956,0.05754372725948004,0.028217093518093005
2015-07-17 00:00:00,0.029893047272389246,0.20397309954520426,0.05763382648994844,0.03179944129892582,0.12419772447670274,0.18223173419846203,0.1398475340589746,0.09879222085750942,0.04630606783075504,0.05738555434779551,0.02793974962333285
2015-07-20 00:00:00,0.02987750626434333,0.20487343597718288,0.057595824063891625,0.03117663092684079,0.1243380569714807,0.18242822405880518,0.1397358932529436,0.09848546143730526,0.046059273584727715,0.05765722831232638,0.02777246515015253
2015-07-21 00:00:00,0.029851175348474798,0.2055870313779368,0.05755665129304819,0.031334081824521735,0.12454245785046666,0.18218507658168562,0.13911406554880118,0.09853830911135679,0.0459487442973457,0.05771389631803801,0.027628510448324515
2015-07-22 00:00:00,0.02976785476681256,0.2084435011314337,0.05766223096530745,0.031037068602154102,0.12456489973600429,0.18149117832425976,0.13813969889505517,0.09751258862881225,0.04590820798696904,0.05774503525572656,0.027727735707465086
2015-07-23 00:00:00,0.029566667186394387,0.20888421376221017,0.057582308564663225,0.031231039987097985,0.12402765954254999,0.18156852395994552,0.13773680131982904,0.09853559773620371,0.04560158245275341,0.05781408572793827,0.02745151976041429
2015-07-24 00:00:00,0.02986686984798312,0.2092737139708314,0.05800498334334984,0.03097175860121111,0.12465384312716037,0.1786495020238796,0.1377474228528408,0.09882322417735741,0.045304373066076965,0.05885113005152943,0.027853178937779957
2015-07-27 00:00:00,0.029660305374825096,0.20973726511973187,0.05831326771991379,0.03073597119317082,0.12418981283784274,0.17886155831542686,0.13784326962883323,0.09781658520316756,0.045124407752863596,0.059272640048842036,0.02844491680538241
2015-07-28 00:00:00,0.02955075735021077,0.20947948764894483,0.0581624901658459,0.031213993882092735,0.1231467527215533,0.1793412067599878,0.1382917205801067,0.09817726084239982,0.0457538139108707,0.058674052506435016,0.028208463631552435
2015-07-29 00:00:00,0.029437527956523244,0.2098657769008325,0.05791843750726267,0.031496915810534244,0.12341418071728906,0.1782882790433185,0.1394013272918992,0.09789859558717073,0.045860453621315016,0.05833031573748251,0.0280881898263723
2015-07-30 00:00:00,0.029655056260317527,0.21010410927208945,0.0578357579894579,0.03118505434014933,0.12367820148701443,0.1779138328154781,0.1387830162426542,0.09824006522070336,0.046144236734317196,0.05824918564789602,0.028211483989922494
2015-07-31 00:00:00,0.029613994109339042,0.21128329997690656,0.05775603699187594,0.03064420603839254,0.12276048579156813,0.17870425647420804,0.13860052965372524,0.09786382777840104,0.045952927036073725,0.05838043920649757,0.028439996943012188
2015-08-03 00:00:00,0.029678830237746447,0.21104948444084148,0.05793069887087945,0.03006234989183116,0.1231359928832238,0.17887848800163683,0.13835379296142353,0.0975693680641351,0.04581574951653498,0.05893168667612878,0.02859355845561843
2015-08-04 00:00:00,0.030019830489960334,0.21207810864710155,0.05794094034135592,0.029949703703558768,0.12277064798892436,0.17939401145880665,0.13802438988823654,0.09697222893794957,0.04628405923237736,0.058523102857781395,0.028042976453947533
