,symbol,marketCap,trailingPE,priceToBook,profitMargins,revenue,grossProfits,totalAssets,totalLiab,totalCash
82,CHRW,9624873984,24.55655,6.841625,0.021170001,,1891731000,,,174732992
83,CDNS,73622700032,76.87784,23.642319,0.24422,,3190095000,,,961982016
84,CZR,9935649792,14.042684,2.1609197,0.06161,,5420000000,,,841000000
85,CPT,9473790976,43.495102,1.9858998,0.14774,,905813000,,,14600000
86,CPB,12247146496,14.438598,3.3496134,0.0917,,2935000000,,,189000000
87,COF,40586866688,7.9827714,0.831623,0.20554,,28403000000,,,46778998784
88,CAH,26192152576,174.2131,,0.00074,,,,,3854000128
89,KMX,10180139008,22.433569,1.694978,0.01589,,2800203000,,,521097984
90,CCL,18823206912,,2.6171448,-0.08104999,,3810000000,,,2868000000
91,CARR,44452708352,37.57447,5.4316177,0.054250002,,5473000000,,,3902000128
92,CTLT,7209077760,,1.8535342,-0.22356,,1060000000,,,209000000
93,CAT,125927260160,14.022676,6.146048,0.13686,,15565000000,,,8424000000
94,CBOE,19006412800,27.11747,5.017136,0.18614,,1741700000,,,437100000
95,CBRE,24081694720,41.584213,3.0573077,0.01891,,6622158000,,,1252100992
96,CDW,29027792896,27.018702,16.042793,0.05026,,4686600000,,,440700000
97,CE,14471184384,7.1511564,2.2294147,0.18929,,2380000000,,,1356999936
98,COR,40431910912,23.571428,77.452866,0.00666,,8334565000,,,2592050944
99,CNC,39723184128,16.487804,1.5715613,0.01754,,24470000000,,,20430999552
100,CNP,17630087168,22.166668,1.839315,0.09312,,3570000000,,,717000000
101,CDAY,10494857216,2240.6667,4.6253357,0.0027599998,,555600000,,,510300000
102,CF,14971148288,7.282528,2.615924,0.2753,,5861000000,,,3254000128
103,CRL,10100852736,21.310608,3.0552843,0.11266,,1462651000,,,157174000
104,SCHW,102848184320,18.81,3.5944965,0.30069,,20174000000,,,52721999872
105,CHTR,60043689984,13.261026,5.4103193,0.08604,,24485000000,,,571000000
106,CVX,273534959616,10.749258,1.6551298,0.12562001,,98886000000,,,5937999872
107,CMG,60918173696,52.636234,21.136896,0.122729994,,3374024000,,,1454006016
108,CB,92630048768,13.300527,1.7686375,0.14726,,10626000000,,,8040000000
109,CHD,23364405248,53.880684,5.7671957,0.07569,,2250000000,,,573299968
110,CI,84230668288,16.235195,1.8477745,0.02787,,22981000000,,,9328000000
111,CINF,16111313920,9.751187,1.5164225,0.17141001,,-533000000,,,899000000
112,CTAS,56518787072,41.65916,13.870767,0.15363,,,,,88126000
113,CSCO,195884122112,14.610272,4.3310046,0.23402001,,35753000000,,,23897999360
114,C,86564798464,7.1793647,0.45558476,0.18719,,70560000000,,,976478011392
115,CFG,12527412224,6.6509905,0.6004335,0.26711,,7547000000,,,16245999616
116,CLX,17515890688,204.6232,,0.01222,,2905000000,,,518000000
117,CME,78186881024,25.917662,2.7711644,0.57131,,5008800000,,,2404300032
118,CMS,16802689024,22.67323,2.4137642,0.096149996,,2762000000,,,157000000
119,KO,253222125568,23.712551,9.620565,0.23922001,,25004000000,,,15436000256
120,CTSH,35685560320,17.358536,2.7678607,0.107489996,,7039000000,,,2368000000
121,CL,63654891520,40.47644,,0.08293,,10248000000,,,1198000000
122,CMCSA,171387912192,11.860725,2.091561,0.12535,,83214000000,,,6434999808
123,CMA,5770762240,4.955832,1.2598605,0.32204,,3474000000,,,8689000448
124,CAG,13617308672,12.662222,1.5327094,0.08804,,,,,93300000
125,COP,137133981696,12.580609,2.8722425,0.18110001,,39598000000,,,9445999616
126,ED,31401211904,13.435746,1.4888045,0.15574001,,7685000000,,,539000000
127,STZ,43785232384,28.010574,4.6618557,0.15498,,,,,83300000
128,CEG,39558656000,23.773512,3.3909163,0.06403,,2227000000,,,1888999936
129,COO,16805508096,61.36347,2.2312229,0.07834,,2166300000,,,117300000
130,CPRT,48786898944,37.087593,7.609705,0.33139,,1769369000,,,2630548992
131,GLW,24059535360,41.47059,2.0231006,0.045,,4843000000,,,1639000064
132,CTVA,32889702400,29.726112,1.3040684,0.053790003,,7026000000,,,2361999872
133,CSGP,34621014016,85.63636,4.798234,0.16857,,1768391000,,,5229879808
134,COST,261819301888,41.85138,10.4497175,0.025969999,,30095000000,,,15233999872
135,CTRA,20136179712,9.262976,1.5761894,0.35048,,7636000000,,,847000000
136,CCI,44921507840,28.932962,6.7408566,0.21962999,,4918000000,,,117000000
137,CSX,64500883456,17.26984,5.397718,0.26158002,,7390000000,,,1439000064
138,CMI,31962079232,11.481161,2.9988961,0.08401,,6736000000,,,2839000064
139,CVS,89336594432,10.630934,1.2018698,0.02444,,53456000000,,,16188000256
140,DHI,42474299392,9.224313,1.8807908,0.13383001,,10070100000,,,3684499968
141,DHR,163605823488,27.920555,3.1217043,0.20013,,18949000000,,,12277000192
142,DRI,18770341888,19.428394,8.766577,0.09129,,,,,192100000
143,DVA,9067202560,15.413044,7.5609384,0.05113,,3400341000,,,461171008
144,DE,106615087104,10.965344,4.8514514,0.16597,,14486000000,,,5824000000
145,DAL,23229011968,6.8113203,2.5055523,0.0594,,9680000000,,,5005000192
146,XRAY,6635454976,,1.9654847,-0.054369997,,2127000000,,,309000000
147,DVN,29055746048,7.7257237,2.4975216,0.25425,,11329000000,,,654000000
148,DXCM,43640942592,124.12087,19.245186,0.11078,,1883100000,,,3240300032
149,FANG,27676450816,8.770845,1.6984097,0.41193,,8173000000,,,827000000
150,DLR,42223681536,47.23183,2.3678186,0.17401,,2660775000,,,1094531968
151,DFS,21697531904,6.4274073,1.6462396,0.34445,,10465000000,,,9208000512
152,DIS,171082842112,74.46512,1.7706912,0.02648,,28321000000,,,14181999616
153,DG,27539849216,12.856558,4.3728876,0.05588,,11820098000,,,353017984
154,DLTR,25811103744,21.33091,2.8569343,0.04157,,8935400000,,,512700000
155,D,39295987712,15.601329,1.4976399,0.09593,,7923000000,,,137000000
156,DPZ,12917132288,25.312372,,0.1164,,1163276000,,,295352000
157,DOV,19541233664,19.188187,4.043711,0.12089,,3070411000,,,283798016
158,DOW,36241182720,28.08152,1.8521705,0.028499998,,8564000000,,,3993999872
159,DTE,21733513216,17.416529,2.0030797,0.089899994,,3668000000,,,36000000
160,DUK,69934407680,19.183931,1.4871266,0.041739997,,13112000000,,,324000000
161,DD,30756601856,36.304565,1.2712632,0.38056,,4615000000,,,1338000000
162,EMN,9705029632,16.443775,1.8133304,0.06239,,2176000000,,,455000000
163,ETN,91327897600,30.57754,4.96807,0.13239999,,6887000000,,,1906000000
164,EBAY,21528119296,8.329317,3.6565585,0.26988,,7115000000,,,8716999680
165,ECL,53389615104,43.443157,7.9819255,0.08181,,5426700000,,,1402400000
166,EIX,25258016768,20.514017,1.8447446,0.07412,,9414000000,,,446000000
167,EW,41181347840,29.017096,6.185661,0.2459,,4303600000,,,1863900032
168,EA,36740759552,37.630856,4.866059,0.13078,,5754000000,,,2304999936
169,ELV,112481927168,18.620382,2.926813,0.03633,,40112000000,,,38895001600
170,LLY,570628440064,108.698006,48.176643,0.15554,,21911600000,,,2623500032
171,EMR,50459549696,23.79301,2.4470558,0.87168,,8188000000,,,8050999808
