timestamp,open,high,low,close,volume,datetime
-157420800000,1257.719970703125,1257.719970703125,1257.719970703125,1257.719970703125,0.0,1965-01-05 00:00:00
-157334400000,1263.989990234375,1263.989990234375,1263.989990234375,1263.989990234375,0.0,1965-01-06 00:00:00
-157248000000,1274.27001953125,1274.27001953125,1274.27001953125,1274.27001953125,0.0,1965-01-07 00:00:00
-157161600000,1286.4300537109375,1286.4300537109375,1286.4300537109375,1286.4300537109375,0.0,1965-01-08 00:00:00
-156902400000,,,,,,1965-01-11 00:00:00
-156816000000,1288.5400390625,1288.5400390625,1288.5400390625,1288.5400390625,0.0,1965-01-12 00:00:00
-156729600000,1281.6700439453125,1281.6700439453125,1281.6700439453125,1281.6700439453125,0.0,1965-01-13 00:00:00
-156643200000,1289.5,1289.5,1289.5,1289.5,0.0,1965-01-14 00:00:00
-156556800000,,,,,,1965-01-15 00:00:00
-156297600000,1271.6800537109375,1271.6800537109375,1271.6800537109375,1271.6800537109375,0.0,1965-01-18 00:00:00
-156211200000,1270.3399658203125,1270.3399658203125,1270.3399658203125,1270.3399658203125,0.0,1965-01-19 00:00:00
-156124800000,1268.8800048828125,1268.8800048828125,1268.8800048828125,1268.8800048828125,0.0,1965-01-20 00:00:00
-156038400000,1270.4599609375,1270.4599609375,1270.4599609375,1270.4599609375,0.0,1965-01-21 00:00:00
-155952000000,1261.8299560546875,1261.8299560546875,1261.8299560546875,1261.8299560546875,0.0,1965-01-22 00:00:00
-155692800000,1249.719970703125,1249.719970703125,1249.719970703125,1249.719970703125,0.0,1965-01-25 00:00:00
-155606400000,1248.050048828125,1248.050048828125,1248.050048828125,1248.050048828125,0.0,1965-01-26 00:00:00
-155520000000,1258.2099609375,1258.2099609375,1258.2099609375,1258.2099609375,0.0,1965-01-27 00:00:00
-155433600000,1247.199951171875,1247.199951171875,1247.199951171875,1247.199951171875,0.0,1965-01-28 00:00:00
-155347200000,1242.27001953125,1242.27001953125,1242.27001953125,1242.27001953125,0.0,1965-01-29 00:00:00
-155088000000,1242.8299560546875,1242.8299560546875,1242.8299560546875,1242.8299560546875,0.0,1965-02-01 00:00:00
-155001600000,1238.75,1238.75,1238.75,1238.75,0.0,1965-02-02 00:00:00
-154915200000,1248.030029296875,1248.030029296875,1248.030029296875,1248.030029296875,0.0,1965-02-03 00:00:00
-154828800000,1261.5999755859375,1261.5999755859375,1261.5999755859375,1261.5999755859375,0.0,1965-02-04 00:00:00
-154742400000,1263.5899658203125,1263.5899658203125,1263.5899658203125,1263.5899658203125,0.0,1965-02-05 00:00:00
-154483200000,1258.9300537109375,1258.9300537109375,1258.9300537109375,1258.9300537109375,0.0,1965-02-08 00:00:00
